input_ville,input_pays,input_aeroport,climat_details,hebergement_moyen_eur_nuit,periode_recommandee,prix_vol_par_mois,tags
Zurich,Switzerland,Paris (CDG),"Le climat à Zurich présente des étés confortables et pluvieux, avec des températures moyennes autour de 21-24°C en juillet, le mois le plus chaud. Les hivers sont très froids, la température moyenne en janvier étant de 1-3°C. Globalement, la température varie de -3°C à 25°C sur l'année. Les mois de mai, juin et juillet sont les plus pluvieux.",200,"La période recommandée pour visiter Zurich est de juin à septembre pour profiter du climat agréable et des activités de plein air. Pour les voyageurs à petit budget, les mois de novembre et février sont généralement les moins chers pour les vols.","[160, 120, 160, 180, 200, 230, 280, 270, 210, 150, 130, 250]","[""Nature"", ""Culture"", ""Histoire"", ""Gastronomie"", ""Shopping"", ""Activités de plein air"", ""Vieille Ville"", ""Musées"", ""Lac de Zurich"", ""Mont Uetliberg""]"
Dubai,United Arab Emirates,Paris (CDG),"Dubaï bénéficie d'un climat subtropical aride, caractérisé par deux saisons : un été très chaud et humide avec des températures dépassant souvent les 40°C, et un hiver doux et agréable, avec des températures moyennes autour de 20-25°C. Les précipitations sont rares toute l'année.",222,Novembre à Mars,"[450, 500, 520, 480, 400, 350, 380, 420, 480, 520, 600, 650]","[""Luxe"", ""Architecture moderne"", ""Divertissement"", ""Plages"", ""Désert"", ""Shopping"", ""Parcs aquatiques"", ""Culture""]"
Zanzibar,Tanzania,Paris (CDG),"Zanzibar bénéficie d'un climat équatorial avec des températures chaudes toute l'année, oscillant généralement entre 25°C et 32°C. La saison sèche s'étend de juin à octobre, offrant un temps ensoleillé et peu de pluie. Une autre période sèche et chaude est de décembre à février. La principale saison des pluies est de mars à mai, avec des averses abondantes, et une 'petite saison des pluies' en novembre et début décembre caractérisée par des averses plus courtes.",85,Juin à Octobre et Décembre à Février,"[950, 900, 687, 780, 687, 850, 1200, 1250, 950, 880, 750, 822]","[""plage"", ""plongée"", ""snorkeling"", ""culture"", ""histoire"", ""faune"", ""kitesurf"", ""aventure"", ""épices"", ""détente"", ""safari""]"
Atlanta,United States,Paris (CDG),"Atlanta a des étés chauds et humides avec des températures pouvant atteindre 32°C en juillet. Les hivers sont doux (environ 7°C en janvier). Le printemps et l'automne offrent un climat agréable, avec des températures modérées. Les mois les plus pluvieux sont mars, juillet et septembre, tandis qu'octobre est généralement le moins pluvieux.",120,Avril à Mai et Septembre à Novembre,"[520, 510, 650, 700, 850, 950, 1000, 920, 480, 680, 600, 1050]","[""histoire"", ""culture"", ""famille"", ""parcs"", ""gastronomie"", ""musées""]"
Thimphu,Bhutan,Paris (CDG),"À Thimphu, le climat est tempéré. Les hivers (décembre-février) sont froids et secs, avec des températures minimales autour de 1°C. Les étés (juin-septembre) sont chauds et humides, marqués par la mousson avec d'importantes précipitations (jusqu'à 431mm en juillet). Les températures maximales varient généralement de 10°C en janvier à 25°C en août.",75,Mars à Mai et Septembre à Novembre,"[950, 1050, 1200, 1250, 1150, 900, 900, 950, 1100, 1250, 1150, 1000]","[""Culturel"", ""Montagnes"", ""Bouddhisme"", ""Trek"", ""Festivals"", ""Himalaya"", ""Authenticité""]"
Los Angeles,United States,Paris (CDG),"Los Angeles bénéficie d'un climat subtropical ou méditerranéen, caractérisé par des étés chauds et ensoleillés avec des températures comprises entre 20 et 30 °C, et des hivers doux avec des températures entre 15 et 20 °C. Les précipitations sont rares en été et plus fréquentes mais généralement faibles en hiver. Juillet et août sont les mois les plus chauds.",187,"Avril à Octobre, avec le printemps et le début de l'automne (Avril-Mai et Septembre-Octobre) offrant un climat agréable et généralement moins de foule.","[550, 614, 580, 650, 500, 750, 800, 865, 442, 600, 550, 650]","[""Hollywood"", ""Plages"", ""Cinéma"", ""Culture"", ""Parcs d'attractions"", ""Shopping"", ""Vues panoramiques""]"
Savannah,United States,Paris (CDG),"Savannah bénéficie d'un climat subtropical humide, caractérisé par des hivers doux (avec de courtes vagues de froid occasionnelles) et des étés chauds, humides et orageux. Les températures annuelles varient généralement de 6 °C à 33 °C. Les précipitations sont abondantes, les mois de juin et août étant les plus pluvieux, tandis que novembre est le mois le plus sec.",115,"Le printemps (mars à mai) et l'automne (septembre à novembre) sont les périodes les plus agréables pour visiter Savannah, évitant la chaleur et l'humidité estivales.","[650, 590, 700, 750, 780, 850, 900, 850, 780, 720, 680, 750]","[""Histoire"", ""Architecture"", ""Gastronomie"", ""Culture"", ""Activités_extérieures""]"
Bukhara,Uzbekistan,Paris (CDG),"Climat continental aride avec des étés très chauds (moyenne maximale de 37°C en juillet, pouvant atteindre 40°C), des hivers froids (moyenne minimale de -2°C en janvier, avec des maximales autour de 7°C) et des précipitations faibles (environ 130 mm par an), principalement en hiver et au printemps.",60,Avril à Juin et Septembre à Octobre,"[0, 0, 0, 639, 0, 0, 643, 0, 534, 0, 0, 0]","[""Route de la Soie"", ""Patrimoine UNESCO"", ""Architecture islamique"", ""Monuments historiques"", ""Bazar"", ""Culture""]"
Montreal,Canada,Paris (CDG),"Montréal connaît quatre saisons marquées. Les étés (juin-août) sont longs, chauds et humides (moyenne 25-26°C). Les hivers (déc-fév) sont très froids, neigeux et venteux (moyenne -10°C, pouvant atteindre -35°C). Le printemps est court (fin mai-juin) et l'automne offre les couleurs de l'été indien.",155,De juin à septembre pour le climat estival et les festivals. Septembre est idéal pour l'été indien et des prix plus abordables.,"[420, 400, 400, 450, 500, 550, 600, 637, 500, 450, 355, 480]","[""Culture"", ""Festivals"", ""Activités hivernales"", ""Été indien"", ""Gastronomie"", ""Nature Urbaine""]"
Hanoi,Vietnam,Paris (CDG),"Hanoï bénéficie d'un climat subtropical humide avec quatre saisons distinctes. L'été (mai-septembre) est chaud, très humide et pluvieux, avec des températures atteignant 30 à 36°C. L'hiver (novembre-mars) est frais, sec et nuageux, avec des températures diurnes de 15 à 20°C. Le printemps (mars-avril) et l'automne (septembre-octobre) offrent un temps plus doux et agréable, entre 22 et 28°C, avec moins de précipitations, ce qui en fait les périodes les plus propices à la visite.",30,Octobre à Avril,"[526, 700, 750, 800, 851, 900, 1000, 1240, 950, 900, 589, 1040]","[""Culture"", ""Histoire"", ""Gastronomie"", ""Lacs"", ""Vieux Quartier"", ""Temples"", ""Musées"", ""Marchés"", ""Marionnettes sur l'eau"", ""Architecture coloniale""]"
Perth,Australia,Paris (CDG),"Perth jouit d'un climat méditerranéen avec des étés chauds et secs (décembre à février), où les températures maximales moyennes atteignent 25-36°C et un pic à 31.7°C en février. Les hivers (juin à août) sont doux et humides, avec des températures maximales moyennes entre 16-22°C et des minimales autour de 8°C. La plupart des pluies tombent de mai à septembre. C'est la capitale australienne la plus ensoleillée.",125,Septembre à Mai,"[1290, 1170, 1170, 1170, 1080, 1110, 1230, 1230, 1290, 1440, 1230, 1380]","[""Plages"", ""Nature"", ""Vie urbaine""]"
Cardiff,United Kingdom,Paris (CDG),"Cardiff a un climat océanique tempéré, doux, souvent nuageux, humide et venteux. Les étés sont confortables et partiellement nuageux (températures moyennes de 11°C à 22°C), tandis que les hivers sont longs, froids, humides et majoritairement nuageux (températures moyennes de 2°C à 8°C). La pluie est possible toute l'année, l'été étant généralement la saison la plus sèche et l'automne/hiver les plus pluvieux.",110,Juin à Septembre,"[280, 380, 150, 380, 300, 320, 320, 300, 260, 300, 220, 200]","[""Histoire"", ""Culture"", ""Activités nautiques"", ""Rugby"", ""Shopping"", ""Famille""]"
San Jose,United States,Paris (CDG),"San Jose bénéficie d'un climat méditerranéen, caractérisé par des hivers doux et pluvieux, et des étés chauds, secs et ensoleillés. La température varie généralement de 6 °C à 28 °C, rarement en dessous de 2 °C ou au-dessus de 33 °C.",146,Mai à Octobre,"[950, 850, 684, 900, 950, 1100, 1300, 1250, 1050, 900, 770, 1058]","[""Technologie"", ""Culture"", ""Nature""]"
Orlando,United States,Paris (CDG),"Climat subtropical avec des hivers très doux et ensoleillés (10-25°C), et des étés chauds, humides et orageux (22-34°C). Les mois de juillet et août sont les plus pluvieux.",125,Mars à Mai et Septembre à Novembre,"[550, 580, 680, 720, 750, 800, 950, 900, 500, 650, 700, 850]","[""Parcs d'attractions"", ""Famille"", ""Aventure"", ""Shopping"", ""Culture spatiale"", ""Plages""]"
Sighisoara,Romania,Paris (CDG),"Climat continental humide avec des étés confortables et partiellement nuageux, et des hivers glaciaux et neigeux. Les températures moyennes varient généralement de -7 °C à 26 °C.",90,Juin à Août,"[170, 190, 230, 286, 300, 330, 380, 380, 290, 250, 272, 270]","[""Citadelle médiévale"", ""Patrimoine UNESCO"", ""Dracula"", ""Transylvanie"", ""Histoire"", ""Architecture"", ""Culture""]"
Vancouver,Canada,Paris (CDG),"Vancouver bénéficie d'un microclimat tempéré et océanique. Les étés (juin à août) sont frais à chauds et ensoleillés, avec des températures maximales entre 20°C et 23°C. Les hivers (décembre à février) sont doux (max 7°C-8°C) mais pluvieux, tandis que le printemps (mars à mai) est doux et humide. Les précipitations sont abondantes, mais les chutes de neige sont rares.",180,Juin à Août,"[550, 318, 500, 600, 650, 850, 950, 950, 750, 650, 550, 750]","[""Nature"", ""Urbain"", ""Multiculturel"", ""Activités de plein air"", ""Gastronomie""]"
Keswick,United Kingdom,Paris (CDG),"Les étés à Keswick sont frais et partiellement nuageux, avec des températures moyennes variant de 15°C à 20°C. Les hivers sont longs, très froids, humides et venteux, avec des températures moyennes de 1°C à 8°C. Keswick est l'un des endroits les plus pluvieux du Royaume-Uni, avec des précipitations importantes toute l'année. Décembre est le mois le plus pluvieux, tandis qu'avril est le moins pluvieux.",170,Mai à Septembre,"[26, 27, 27, 46, 42, 49, 53, 53, 53, 53, 48, 27]","[""Randonnée"", ""Nature"", ""Lac"", ""Montagne"", ""Activités de plein air"", ""Culture"", ""Festivals"", ""Villages pittoresques""]"
Bologna,Italy,Paris (CDG),"Bologne bénéficie d'un climat semi-continental, caractérisé par des hivers froids et humides, souvent accompagnés de brouillard et parfois de neige. Les étés sont chauds et humides, avec des températures élevées. Le printemps et l'automne offrent des températures plus douces et agréables, bien qu'il faille s'attendre à des précipitations modérées durant ces saisons.",122,Avril à juin et septembre à octobre,"[70, 94, 120, 150, 115, 160, 180, 180, 150, 140, 90, 149]","[""Gastronomie"", ""Architecture"", ""Histoire"", ""Culture"", ""Vie étudiante"", ""Tours"", ""Portiques""]"
Isle of Skye,United Kingdom,Paris (CDG),"Climat océanique, frais et humide. Les étés (juin-août) sont doux avec des températures maximales moyennes autour de 16°C et un risque de pluie qui diminue. Les mois les plus secs sont généralement avril et mai. Les hivers (novembre-mars) sont froids, avec des minimales autour de 2°C et des maximales inférieures à 8°C.",220,Mai à Septembre,"[250, 187, 220, 270, 290, 310, 310, 325, 290, 240, 200, 260]","[""Randonnée"", ""Paysages grandioses"", ""Châteaux"", ""Nature"", ""Faune marine""]"
Guimarães,Portugal,Paris (CDG),"Guimarães bénéficie d'un climat tempéré méditerranéen avec un été sec. Les hivers sont frais (janvier: 12°C en moyenne, avec des minimales entre 2 et 5°C, et des températures négatives occasionnelles) et les étés sont modérés à chauds (août: 27°C en moyenne maximale). La saison chaude s'étend de fin juin à mi-septembre. Les mois les plus pluvieux sont octobre, novembre et décembre.",67,"Avril à Octobre (printemps et automne pour des températures agréables et moins de foule, été pour les festivals et le temps chaud).","[110, 105, 130, 140, 135, 170, 210, 220, 180, 150, 120, 160]","[""Patrimoine UNESCO"", ""Histoire"", ""Culture"", ""Médiéval"", ""Architecture"", ""Nature"", ""Gastronomie"", ""Vinho Verde""]"
Macau,China,Paris (CDG),"Climat subtropical avec des hivers doux et secs (décembre à février), et des étés chauds, humides et pluvieux (mai à septembre). Le printemps (mars à mai) est doux mais peut être brumeux et humide. L'automne (octobre à décembre) offre un temps doux et sec, idéal pour la visite.",130,Octobre à Décembre (automne),"[550, 600, 906, 942, 550, 750, 1366, 1074, 700, 650, 450, 800]","[""Las Vegas asiatique"", ""casinos"", ""culture portugaise"", ""gastronomie"", ""histoire"", ""architecture""]"
Salento,Colombia,Paris (CDG),"Le climat de Salento est tempéré et humide toute l'année, avec des températures variant généralement de 13 °C à 23 °C. Il pleut fréquemment, mais les mois de janvier, février, juin et juillet sont considérés comme les plus ensoleillés avec moins de précipitations.",60,Janvier à Mars et Juin à Septembre,"[750, 700, 680, 750, 800, 850, 950, 800, 680, 750, 800, 900]","[""Culture du café"", ""Nature"", ""Randonnée"", ""Villages colorés"", ""Palmiers de cire"", ""Vallée de Cocora""]"
Zagreb,Croatia,Paris (CDG),"Zagreb bénéficie d'un climat continental. Les étés sont chauds, souvent avec des averses et orages en fin de journée en juillet-août. Les hivers sont froids, humides et peuvent être neigeux. Le printemps et l'automne sont généralement agréables avec des journées douces et des soirées fraîches.",55,Avril à Septembre,"[135, 130, 140, 160, 180, 210, 230, 240, 200, 150, 140, 170]","[""Culture"", ""Histoire"", ""Ville"", ""Gastronomie"", ""Musées"", ""Architecture"", ""Parcs""]"
Quito,Ecuador,Paris (CDG),"Quito bénéficie d'un climat subtropical de montagne, ou tempéré, avec des températures douces et printanières toute l'année. Les températures varient généralement entre 9°C et 22°C. Il y a deux saisons principales : une saison sèche de juin à septembre et une saison humide d'octobre à mai.",60,"Juin à Septembre (saison sèche), avec Juillet et Août étant très favorables. Septembre est également recommandé.","[950, 900, 725, 706, 850, 1050, 1152, 1322, 800, 900, 900, 1000]","[""Culture"", ""Andes"", ""Patrimoine UNESCO"", ""Architecture coloniale"", ""Nature""]"
San Salvador,El Salvador,Paris (CDG),"Climat tropical humide et sec, chaud toute l'année. La saison sèche (novembre-avril) offre peu de précipitations, des températures agréables et de nombreuses journées ensoleillées. La saison des pluies (mai-octobre) est chaude et humide, avec des averses intenses. Les températures maximales à San Salvador varient de 30°C à 34°C, avec des nuits plus fraîches en saison sèche (environ 13°C-20°C).",65,"Novembre à Avril (saison sèche), particulièrement de Janvier à Mars, Novembre et Décembre","[600, 650, 600, 700, 750, 700, 700, 750, 680, 650, 700, 750]","[""volcans"", ""plages"", ""sites archéologiques"", ""culture coloniale"", ""randonnée"", ""surf"", ""lacs""]"
Suva,Fiji,Paris (CDG),"Climat tropical humide, ensoleillé toute l'année avec des températures variant généralement de 20°C à 32°C. La saison sèche s'étend de mai à octobre, offrant un temps plus agréable. La saison des pluies, de décembre à avril, est plus chaude et humide, avec un risque de typhons.",95,Mai à Octobre,"[1355, 1383, 1524, 1650, 1550, 1456, 1780, 1780, 1450, 1550, 1650, 1850]","[""Plages"", ""Plongée"", ""Culture"", ""Randonnée"", ""Aventure"", ""Farniente"", ""Nature""]"
Toulouse,France,Paris (CDG),"Le climat de Toulouse est tempéré-chaud, océanique avec une tendance méditerranéenne, caractérisé par un été chaud et sec (moyenne de 28°C en juillet), un automne bien ensoleillé, un hiver doux (rarement en dessous de 4°C avec des journées ensoleillées) et un printemps humide. La température annuelle moyenne est de 14.3°C.",105,"De mai à octobre, avec une préférence pour le printemps (mai) et l'automne (septembre-octobre) pour un climat agréable et moins de foule. Les activités estivales sont meilleures de début juin à fin septembre.","[90, 51, 120, 130, 100, 110, 180, 200, 160, 125, 115, 160]","[""Ville rose"", ""Aéronautique"", ""Espace"", ""Canal du Midi"", ""Patrimoine"", ""Culture"", ""Garonne"", ""Occitanie"", ""Sud-Ouest""]"
Frankfurt,Germany,Paris (CDG),"Francfort bénéficie d'un climat continental avec des variations saisonnières marquées. Les étés sont généralement chauds (jusqu'à 26°C en juillet), et les hivers peuvent être froids (environ 4°C en janvier). Les précipitations sont modérées tout au long de l'année, avec un pic en décembre et un minimum en avril.",105,"Mai à Septembre, avec le printemps (mars à mai) et l'automne (septembre à novembre) offrant également des températures douces et agréables.","[106, 96, 96, 96, 70, 79, 88, 189, 70, 79, 79, 88]","[""culture"", ""musées"", ""architecture"", ""affaires"", ""vieille ville"", ""croisière fluviale"", ""shopping"", ""jardins"", ""marchés de noël (hiver)""]"
Accra,Ghana,Paris (CDG),"Climat tropical, très chaud et souvent humide toute l'année (24°C à 33°C). La saison sèche s'étend de décembre à février, et la saison des pluies d'avril à octobre. La saison sèche est partiellement nuageuse, tandis que la saison des pluies est nuageuse.",100,"De novembre à février, pendant la saison sèche, avec des conditions idéales en janvier et décembre.","[580, 500, 490, 450, 520, 580, 750, 720, 620, 600, 550, 680]","[""Culture"", ""Plages"", ""Tropical"", ""Afrique de l'Ouest"", ""Histoire""]"
Cayenne,French Guiana,Paris (CDG),"Climat tropical, chaud et humide toute l'année, avec une saison relativement sèche de juillet à novembre et une saison des pluies de décembre à juin. Les températures moyennes varient entre 25 et 33°C.",105,Août à Novembre,"[900, 800, 763, 780, 830, 880, 1000, 1125, 950, 880, 820, 980]","[""Nature"", ""Culture"", ""Histoire"", ""Faune"", ""Marchés"", ""Randonnée"", ""Espace""]"
Launceston,Australia,Paris (CDG),"Launceston bénéficie d'un climat tempéré océanique avec quatre saisons distinctes. Les étés (décembre à février) sont agréables et plus chauds que dans le sud de la Tasmanie, avec une température moyenne de 25°C. Les hivers (juin à août) sont froids, avec des températures maximales moyennes autour de 11-12°C, et peuvent être brumeux et pluvieux.",100,"De janvier à mars (été austral) pour un temps idéal, mais novembre et décembre sont aussi très agréables.","[1400, 1350, 1250, 1150, 1100, 1050, 1050, 1100, 1200, 1250, 1300, 1450]","[""Cataract Gorge"", ""Vallée de la Tamar"", ""Vin"", ""Art et design"", ""Faune"", ""Nature"", ""Randonnée"", ""Architecture victorienne"", ""Gastronomie""]"
Valparaíso,Chile,Paris (CDG),"Valparaíso bénéficie d'un climat méditerranéen tempéré avec des étés secs. La saison chaude s'étend de début décembre à mi-mars. Les températures moyennes maximales sont d'environ 23°C en février, tandis que les minimales sont d'environ 7°C en juillet. Février est le mois le moins pluvieux.",55,Janvier à Mars,"[820, 880, 780, 850, 920, 980, 1200, 1100, 990, 950, 1020, 1150]","[""art de rue"", ""architecture colorée"", ""funiculaires"", ""vue panoramique"", ""patrimoine UNESCO"", ""ambiance bohème"", ""ville portuaire"", ""maison de Pablo Neruda"", ""gastronomie locale""]"
Colmar,France,Paris (CDG),Climat semi-continental avec des étés modérément chauds (jusqu'à 26°C) et des hivers froids (jusqu'à -1°C). La ville bénéficie d'un microclimat sec et est l'une des moins pluvieuses de France.,105,Mai à Septembre,"[110, 95, 120, 135, 150, 160, 180, 180, 140, 125, 130, 170]","[""Petite Venise"", ""Marchés de Noël"", ""Route des Vins""]"
Bratislava,Slovakia,Paris (CDG),"Le climat de Bratislava est modérément continental, avec des hivers froids et des étés chauds. Les températures moyennes varient de -3°C en hiver à 27°C en été. Le printemps et l'automne offrent des températures plus agréables.",109,Mai à Septembre,"[66, 110, 120, 90, 130, 160, 190, 190, 150, 120, 100, 170]","[""vieille_ville"", ""château"", ""Danube"", ""culture"", ""histoire"", ""architecture"", ""abordable"", ""marchés_de_Noël""]"
Hong Kong,Hong Kong,Paris (CDG),"Hong Kong a un climat subtropical humide. La saison sèche s'étend d'octobre à mars, avec des températures douces et un temps sec (20-28°C en automne, 5-15°C en hiver). La saison humide va de mai à septembre, caractérisée par des étés chauds et très humides, avec 80% des précipitations annuelles et des risques de typhons.",145,Octobre à Mars,"[750, 700, 700, 650, 600, 800, 1000, 950, 700, 600, 475, 450]","[""culture"", ""gastronomie"", ""shopping"", ""gratte-ciel"", ""randonnée"", ""vie nocturne""]"
Trinidad,Cuba,Paris (CDG),"Climat tropical avec une saison sèche (fin novembre à mi-avril) agréable et une saison humide (fin avril à début novembre) chaude et pluvieuse. Les températures varient de 26°C en janvier à 31°C en août, avec des précipitations maximales en septembre. Risque d'ouragans d'août à octobre.",35,De Janvier à Mars et en Décembre (saison sèche et moins chaude),"[889, 950, 606, 911, 750, 900, 1145, 1100, 800, 850, 876, 950]","[""ville coloniale"", ""patrimoine UNESCO"", ""plages"", ""nature"", ""montagnes"", ""cascades"", ""culture"", ""musique"", ""histoire"", ""randonnée""]"
Plovdiv,Bulgaria,Paris (CDG),"Plovdiv bénéficie d'un climat continental. Les étés sont chauds et ensoleillés, avec des températures pouvant atteindre 38-45°C en juillet et août, parfois accompagnées d'orages. Les hivers sont très froids, neigeux et partiellement nuageux, avec une température moyenne de 1,3°C en janvier et des records de froid à -23°C. Le printemps et l'automne sont doux et plus secs.",65,"Le printemps (avril à juin) et l'automne (septembre à octobre) sont les meilleures périodes pour visiter Plovdiv, offrant des températures agréables et moins de foules. L'été (juillet et août) est idéal pour les festivals, mais les températures peuvent être très élevées.","[115, 125, 165, 190, 220, 250, 280, 280, 220, 180, 160, 115]","[""historique"", ""culturel"", ""ruines romaines"", ""vieille ville"", ""Kapana"", ""montagnes"", ""budget-friendly"", ""gastronomie""]"
Maui,United States,Paris (CDG),"Climat tropical avec des températures agréables toute l'année, oscillant généralement entre 26°C et 30°C. La saison sèche s'étend de mai à octobre, tandis que la saison humide va de novembre à avril, avec les mois de décembre, janvier et mars étant les plus pluvieux. Les averses sont souvent courtes. La température de la mer est très agréable toute l'année, entre 24°C et 27°C.",450,"Avril à Mai et Septembre à Novembre (saisons intermédiaires offrant une météo agréable, moins de foule et de meilleurs prix). Décembre à Mars est la haute saison pour l'observation des baleines, mais aussi la plus chère et potentiellement plus pluvieuse.","[1250, 1350, 1280, 1050, 1000, 1150, 1250, 1200, 950, 1020, 980, 1300]","[""Plages"", ""Snorkeling"", ""Randonnée"", ""Volcan Haleakala"", ""Observation des baleines"", ""Culture Hawaïenne"", ""Nature"", ""Sports Nautiques""]"
Khiva,Uzbekistan,Paris (CDG),"Khiva a un climat désertique continental. Les étés sont très chauds, avec des températures atteignant fréquemment 40°C en juillet. Les hivers sont froids, avec des minimales autour de -5°C en janvier. Les précipitations sont faibles toute l'année. Le printemps et l'automne offrent un temps doux et agréable, idéal pour la visite.",45,Avril à Mai et Septembre à Octobre,"[450, 450, 500, 600, 580, 620, 680, 650, 530, 500, 480, 450]","[""Historique"", ""Culturel"", ""Route de la Soie"", ""Désert"", ""Patrimoine UNESCO"", ""Architecture""]"
Belize City,Belize,Paris (CDG),"Climat tropical, chaud toute l'année. La saison sèche (décembre à mai) est caractérisée par des températures agréables et peu de précipitations. La saison humide (juin à novembre) est plus chaude, humide et comporte un risque de tempêtes tropicales ou d'ouragans.",170,Décembre à Mai,"[850, 950, 1000, 1000, 950, 1100, 1400, 1200, 1100, 750, 800, 1350]","[""Plongée"", ""Ruines Mayas"", ""Nature"", ""Plages"", ""Écotourisme"", ""Caraïbes""]"
Harare,Zimbabwe,Paris (CDG),"Harare connaît un climat subtropical avec deux saisons principales. La saison sèche, d'avril à octobre, est caractérisée par des journées ensoleillées et agréables avec des températures moyennes allant de 15°C à 28°C, et des nuits plus fraîches. Les précipitations sont très faibles pendant cette période. La saison humide, de novembre à mars, est plus chaude (moyenne de 22°C à 28°C) et connaît des pluies modérées à fortes, particulièrement de décembre à février.",80,Avril à Octobre,"[950, 900, 950, 1000, 789, 1050, 1200, 1295, 1100, 1000, 950, 1100]","[""Safari"", ""Culture"", ""Nature"", ""Aventure"", ""Exploration urbaine""]"
Ubud,Indonesia,Paris (CDG),"Ubud bénéficie d'un climat tropical humide et sec, chaud toute l'année. Les températures moyennes varient de 29°C à 32°C. La saison sèche s'étend de mai à octobre, idéale pour les activités extérieures. La saison des pluies va de novembre à avril, avec des précipitations plus intenses en décembre, janvier et février.",45,Mai à Octobre,"[880, 850, 700, 800, 850, 650, 1100, 1100, 950, 900, 880, 920]","[""Culture"", ""Nature"", ""Bien-être"", ""Temples"", ""Rizières"", ""Yoga"", ""Aventure"", ""Artisanat"", ""Forêt des Singes""]"
Punta del Este,Uruguay,Paris (CDG),"Le climat de Punta del Este est subtropical humide (Cfa ou Cfb), caractérisé par des étés chauds (décembre à mars) et des hivers doux (juin à août). La température maximale moyenne annuelle est de 20°C, variant de 14°C en juillet à 26°C en janvier. Les précipitations sont bien réparties tout au long de l'année, avec environ 1601mm annuellement. Le vent souffle souvent, particulièrement de décembre à avril.",99,Décembre à Mars pour le temps chaud et les activités de plage; Janvier à Mai et Septembre à Décembre sont généralement agréables.,"[1257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Plages"", ""Vie nocturne"", ""Art et culture"", ""Luxe"", ""Sports nautiques"", ""Shopping"", ""Gastronomie"", ""Nature""]"
Rapa Nui,Chile,Paris (CDG),"Climat subtropical, chaud et humide en été (décembre-mars) avec des températures moyennes de 23-24°C, et doux en hiver (juillet-septembre) avec 18.5-19°C. La pluie est présente toute l'année et l'île est souvent venteuse.",75,"D'octobre à mai, avec un pic de décembre à mars pour le climat le plus chaud et les festivités.","[2338, 2100, 1352, 1600, 1800, 1500, 1600, 1700, 1800, 1900, 2000, 3310]","[""Moai"", ""Culture"", ""Nature"", ""Randonnée"", ""Plongée""]"
Cork,Ireland,Paris (CDG),"Climat océanique, avec des étés doux et partiellement nuageux, et des hivers longs, froids et pluvieux. Les précipitations sont régulières toute l'année, avec une température variant généralement de 4 °C à 19 °C.",193,De mai à septembre,"[141, 141, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0]","[""Culture"", ""Histoire"", ""Gastronomie"", ""Pubs"", ""Marchés"", ""Châteaux""]"
Batumi,Georgia,Paris (CDG),"Climat subtropical humide, caractérisé par des étés chauds et des hivers doux. Les précipitations sont abondantes tout au long de l'année, avec une pluviométrie moyenne annuelle élevée, la saison la plus pluvieuse étant l'automne.",45,Mai à Octobre,"[300, 280, 350, 400, 450, 500, 600, 550, 400, 380, 320, 300]","[""Plage"", ""Gastronomie Géorgienne"", ""Culture"", ""Nature"", ""Vins""]"
Vladivostok,Russia,Paris (CDG),"Climat continental humide, avec des étés confortables, parfois pluvieux et partiellement nuageux. Les hivers sont courts, glaciaux, neigeux, venteux et dégagés. La température varie généralement de -15°C à 23°C.",77,Juin à Septembre,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Extrême-Orient"", ""Transsibérien"", ""Portuaire"", ""Histoire militaire"", ""Influences asiatiques"", ""Nature"", ""Ponts"", ""Musées"", ""Culture""]"
Murmansk,Russia,Paris (CDG),"Murmansk a un climat subarctique avec des hivers longs et froids, des températures moyennes en janvier autour de -10°C à -11°C, pouvant descendre bien en dessous de -20°C. Les étés sont courts et frais, avec des moyennes en juillet d'environ 13.5°C. La ville connaît des nuits polaires de début décembre à début janvier et des jours polaires de fin mai à fin juillet. Les précipitations sont modérées, avec plus de pluie en été.",25,Janvier à Mars,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Aurores Boréales"", ""Cercle Arctique"", ""Brise-glace Lénine"", ""Monument Aliocha"", ""Activités hivernales"", ""Nuits polaires"", ""Culture Sami""]"
Moscow,Russia,Paris (CDG),"Moscou connaît des étés confortables et partiellement nuageux (températures maximales autour de 23-26°C en juillet-août) et des hivers longs, glaciaux, neigeux, venteux et couverts (températures minimales autour de -7°C à -9°C en janvier-février). La température moyenne annuelle est de 6.3°C, avec des précipitations moyennes de 60 mm par mois.",82,Juin à Septembre pour un climat agréable ; Mai et Septembre pour éviter les foules ; l'hiver pour admirer les paysages enneigés malgré le froid.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Vols directs suspendus"", ""Escales obligatoires"", ""Visa requis"", ""Cartes bancaires européennes inopérantes"", ""Argent liquide (euros à échanger) nécessaire"", ""Assurance voyage recommandée (compagnie russe si possible)"", ""VPN utile pour accès internet"", ""Hivers froids"", ""Étés doux"", ""Transports en commun efficaces""]"
